label,title,content,text,cleaned_text
0,Good Luck Trying to have your Ryobi product Serviced,"I purchased the Ryobi Lawn Eddger for my Ryobi trimmer. On my second use, the Lawn Edger became stuck to the trimmer body.I tried 4 different local ""Authorized Ryobi"" service centers. None will accept a Ryobi trimmer in for ""warranty repair"". For the past 2 weeks, the only message I have been able to get on the ""Ryobi 1-800 number"" has been ""Due to heavy call volume... we request that you call back later"". Even the Ryobi web page is most of the time out of service or extremely slow.I would never consider buying any Ryobi (or products from the same family).","I purchased the Ryobi Lawn Eddger for my Ryobi trimmer. On my second use, the Lawn Edger became stuck to the trimmer body.I tried 4 different local ""Authorized Ryobi"" service centers. None will accept a Ryobi trimmer in for ""warranty repair"". For the past 2 weeks, the only message I have been able to get on the ""Ryobi 1-800 number"" has been ""Due to heavy call volume... we request that you call back later"". Even the Ryobi web page is most of the time out of service or extremely slow.I would never consider buying any Ryobi (or products from the same family). Good Luck Trying to have your Ryobi product Serviced",i purchased the ryobi lawn eddger for my ryobi trimmer on my second use the lawn edger became stuck to the trimmer body i tried 4 different local authorized ryobi service centers none will accept a ryobi trimmer in for warranty repair for the past 2 weeks the only message i have been able to get on the ryobi 1 800 number has been due to heavy call volume we request that you call back later even the ryobi web page is most of the time out of service or extremely slow i would never consider buying any ryobi or products from the same family good luck trying to have your ryobi product serviced
2,Great reading,"While Patton had flaws, and they are clearly presented in this excellently-written biography, I found his story full of high interest and one could not help but feel glad that Patton was present when he was on the battlefields where he served. This is an excellent work, well matching the other D'Este works I have read: Decision in Normandy (read 5 July 1992) and Fatal Decision (read 29 June 2003). Patton did heroic things but there is no need to admire his flaws--and that includes his belief that crude and foul language somehow made him a better man and general, and that he thought he knew more about mental damage than doctors. But this is a great and enjoyable book to read and I revelled in it.","While Patton had flaws, and they are clearly presented in this excellently-written biography, I found his story full of high interest and one could not help but feel glad that Patton was present when he was on the battlefields where he served. This is an excellent work, well matching the other D'Este works I have read: Decision in Normandy (read 5 July 1992) and Fatal Decision (read 29 June 2003). Patton did heroic things but there is no need to admire his flaws--and that includes his belief that crude and foul language somehow made him a better man and general, and that he thought he knew more about mental damage than doctors. But this is a great and enjoyable book to read and I revelled in it. Great reading",while patton had flaws and they are clearly presented in this excellently written biography i found his story full of high interest and one could not help but feel glad that patton was present when he was on the battlefields where he served this is an excellent work well matching the other d este works i have read decision in normandy read 5 july 1992 and fatal decision read 29 june 2003 patton did heroic things but there is no need to admire his flaws and that includes his belief that crude and foul language somehow made him a better man and general and that he thought he knew more about mental damage than doctors but this is a great and enjoyable book to read and i revelled in it great reading
2,Excelente Compilación de lo mejor de Caifanes,"Debido a los otros comentarios al respecto de este disco quiero aclarar que Caifanes NO es lo mismo que Jaguares. Son dos grupos diferentes ya que en Caifanes la guitarra estaba en primer plano. El unico pero que le pongo a este CD es que solo incluyeron 2 canciones del MTV Unplugged. Me hubiera gustado que incluyeran todo el MTV unplugged en el segundo disco. Las guitarras de Marcovich se aprecian mas en las versiones en vivo ya que existe la certeza de que no hay ""overdubbing"" (Regrabaciones). Un buen disco para empezar. Estoy seguro que si este es el primer disco de Caifanes que se adquiere pronto nacera la curiosidad por conocer las canciones que no se incluyen de los otros discos.","Debido a los otros comentarios al respecto de este disco quiero aclarar que Caifanes NO es lo mismo que Jaguares. Son dos grupos diferentes ya que en Caifanes la guitarra estaba en primer plano. El unico pero que le pongo a este CD es que solo incluyeron 2 canciones del MTV Unplugged. Me hubiera gustado que incluyeran todo el MTV unplugged en el segundo disco. Las guitarras de Marcovich se aprecian mas en las versiones en vivo ya que existe la certeza de que no hay ""overdubbing"" (Regrabaciones). Un buen disco para empezar. Estoy seguro que si este es el primer disco de Caifanes que se adquiere pronto nacera la curiosidad por conocer las canciones que no se incluyen de los otros discos. Excelente Compilación de lo mejor de Caifanes",debido a los otros comentarios al respecto de este disco quiero aclarar que caifanes no es lo mismo que jaguares son dos grupos diferentes ya que en caifanes la guitarra estaba en primer plano el unico pero que le pongo a este cd es que solo incluyeron 2 canciones del mtv unplugged me hubiera gustado que incluyeran todo el mtv unplugged en el segundo disco las guitarras de marcovich se aprecian mas en las versiones en vivo ya que existe la certeza de que no hay overdubbing regrabaciones un buen disco para empezar estoy seguro que si este es el primer disco de caifanes que se adquiere pronto nacera la curiosidad por conocer las canciones que no se incluyen de los otros discos excelente compilación de lo mejor de caifanes
2,Wonderful inspiration,"Charles Stanley continues to be a great blessing in our lives, and especially with this book; it brings new understanding of the Holy Spirit and its purpose in our lives. You will be blessed, uplifted, and inspired when you read it!","Charles Stanley continues to be a great blessing in our lives, and especially with this book; it brings new understanding of the Holy Spirit and its purpose in our lives. You will be blessed, uplifted, and inspired when you read it! Wonderful inspiration",charles stanley continues to be a great blessing in our lives and especially with this book it brings new understanding of the holy spirit and its purpose in our lives you will be blessed uplifted and inspired when you read it wonderful inspiration
2,YOU'RE LATE! This is the DEMO.,"I bought this cd back in February, it was then the Dynamite Hack Demo(it's now mass-produced as a cd by thier label,Farm Club). My cd does not have any label on it, but it is the same.This cd is great, I stopped listening to it back in late April, but it was in my cd player for OVER TWO MONTHS! --THAT'S HOW GREAT IT IS!","I bought this cd back in February, it was then the Dynamite Hack Demo(it's now mass-produced as a cd by thier label,Farm Club). My cd does not have any label on it, but it is the same.This cd is great, I stopped listening to it back in late April, but it was in my cd player for OVER TWO MONTHS! --THAT'S HOW GREAT IT IS! YOU'RE LATE! This is the DEMO.",i bought this cd back in february it was then the dynamite hack demo it s now mass produced as a cd by thier label farm club my cd does not have any label on it but it is the same this cd is great i stopped listening to it back in late april but it was in my cd player for over two months that s how great it is you re late this is the demo
2,Excellent,All of James Patterson's books (Women's Murder Club) have kept me in suspense. I would be glad to say that it have been a thrill to read them,All of James Patterson's books (Women's Murder Club) have kept me in suspense. I would be glad to say that it have been a thrill to read them Excellent,all of james patterson s books women s murder club have kept me in suspense i would be glad to say that it have been a thrill to read them excellent
2,not bad for the price,You get what you paid for. The Silicone is a bit thinner than the expensive brands and you need to be slightly careful when you handle the cover since it can easily tear. But once its on the controller it does the job.,You get what you paid for. The Silicone is a bit thinner than the expensive brands and you need to be slightly careful when you handle the cover since it can easily tear. But once its on the controller it does the job. not bad for the price,you get what you paid for the silicone is a bit thinner than the expensive brands and you need to be slightly careful when you handle the cover since it can easily tear but once its on the controller it does the job not bad for the price
2,Best Of The Best,This Action Packed Movie Is Based On 3 Episodes Called 1. The Third Element 2. Buyer Beware 3. Stormy Weather This Is A Must SEE Movie Its A Great Video And It Comes Out On July 10.,This Action Packed Movie Is Based On 3 Episodes Called 1. The Third Element 2. Buyer Beware 3. Stormy Weather This Is A Must SEE Movie Its A Great Video And It Comes Out On July 10. Best Of The Best,this action packed movie is based on 3 episodes called 1 the third element 2 buyer beware 3 stormy weather this is a must see movie its a great video and it comes out on july 10 best of the best
2,Adorable!,"Everyone fell in love with this costume. It was nice and warm for the rain and snow we had that night. The only problem I had with it was that the huge collar never wanted to stay up, so people had to ask what he was. As soon as I held it up, they knew exactly what he was supposed to be. I tried ironing it, but it didn't help. I think it was just layed down too long the wrong way in the package. Other than that it was great. Most people loved how original it was for such a small age. My son looked majorly snazzy in it! I almost wish the cape could come off so he could just wear the suit around because he looked so cute in it!","Everyone fell in love with this costume. It was nice and warm for the rain and snow we had that night. The only problem I had with it was that the huge collar never wanted to stay up, so people had to ask what he was. As soon as I held it up, they knew exactly what he was supposed to be. I tried ironing it, but it didn't help. I think it was just layed down too long the wrong way in the package. Other than that it was great. Most people loved how original it was for such a small age. My son looked majorly snazzy in it! I almost wish the cape could come off so he could just wear the suit around because he looked so cute in it! Adorable!",everyone fell in love with this costume it was nice and warm for the rain and snow we had that night the only problem i had with it was that the huge collar never wanted to stay up so people had to ask what he was as soon as i held it up they knew exactly what he was supposed to be i tried ironing it but it didn t help i think it was just layed down too long the wrong way in the package other than that it was great most people loved how original it was for such a small age my son looked majorly snazzy in it i almost wish the cape could come off so he could just wear the suit around because he looked so cute in it adorable
0,Most frustrating,"Most annoying piece of hardware that I have used.Pointer tracking,The most important of mouse's function, it does a worse job.","Most annoying piece of hardware that I have used.Pointer tracking,The most important of mouse's function, it does a worse job. Most frustrating",most annoying piece of hardware that i have used pointer tracking the most important of mouse s function it does a worse job most frustrating
0,Romantic Rape?,"I enjoy romance novels. I do not enjoy reading about a woman who is abducted, continually raped, impregnated, and then FALLS IN LOVE with her rapist. I kept reading hoping that he would get his just dessert. But he didn't. She falls in love with him and he gets ""reformed."" ????? The whole time all I could think was--this is called Stockholm Syndrome! I was horrified that this was considered a romance. The rape scenes were graphic and, in many cases, violent.Johanna Lindsey should be ashamed of herself for making rape romantic. It is horrible. DO NOT READ!!!","I enjoy romance novels. I do not enjoy reading about a woman who is abducted, continually raped, impregnated, and then FALLS IN LOVE with her rapist. I kept reading hoping that he would get his just dessert. But he didn't. She falls in love with him and he gets ""reformed."" ????? The whole time all I could think was--this is called Stockholm Syndrome! I was horrified that this was considered a romance. The rape scenes were graphic and, in many cases, violent.Johanna Lindsey should be ashamed of herself for making rape romantic. It is horrible. DO NOT READ!!! Romantic Rape?",i enjoy romance novels i do not enjoy reading about a woman who is abducted continually raped impregnated and then falls in love with her rapist i kept reading hoping that he would get his just dessert but he didn t she falls in love with him and he gets reformed the whole time all i could think was this is called stockholm syndrome i was horrified that this was considered a romance the rape scenes were graphic and in many cases violent johanna lindsey should be ashamed of herself for making rape romantic it is horrible do not read romantic rape
2,physic sience,"I have had , and read this book before, Loaned it out, and it never got returned. This is an awesome book","I have had , and read this book before, Loaned it out, and it never got returned. This is an awesome book physic sience",i have had and read this book before loaned it out and it never got returned this is an awesome book physic sience
2,Great artists pay tribute to brilliant Fat Man.,"On this this 2-CD I've found some excellent tracks like Willie Nelson's own style version of ""I hear you knocking"" and Nora Jones' subtle version of ""My blue heaven"". But hearing all these great artists doin' Domino's repertoire made me realise again how BRILLIANT Fats' own versions are!","On this this 2-CD I've found some excellent tracks like Willie Nelson's own style version of ""I hear you knocking"" and Nora Jones' subtle version of ""My blue heaven"". But hearing all these great artists doin' Domino's repertoire made me realise again how BRILLIANT Fats' own versions are! Great artists pay tribute to brilliant Fat Man.",on this this 2 cd i ve found some excellent tracks like willie nelson s own style version of i hear you knocking and nora jones subtle version of my blue heaven but hearing all these great artists doin domino s repertoire made me realise again how brilliant fats own versions are great artists pay tribute to brilliant fat man
0,Important Background Info On This Book,"In 2001 ""Arming America: The Origins of a National Gun Culture"" received the prestigious Bancroft Prize for American history from Columbia University.In October 2002 the author, Michael Bellesiles, resigned as a professor at Emory University, after an independent panel of scholars strongly critized his research, saying that he was ""guily of unprofessional and misleading work.""In December 2002 Columbia rescinded their award to Bellesiles; in a statement issued by the school's trustees, they said that Bellesiles' ""book had not and does not meet the standards ... established for the Bancroft Prize.""An online search will quickly and easily verify that the above information is true - something that sadly cannot be said of many of the ""facts"" contained in Bellesiles' book.Whatever your views on gun control may be, avoid ""Arming America: The Origins of a National Gun Culture"" like the plague - it has clearly and widely been discredited as bad, bad, bad history.","In 2001 ""Arming America: The Origins of a National Gun Culture"" received the prestigious Bancroft Prize for American history from Columbia University.In October 2002 the author, Michael Bellesiles, resigned as a professor at Emory University, after an independent panel of scholars strongly critized his research, saying that he was ""guily of unprofessional and misleading work.""In December 2002 Columbia rescinded their award to Bellesiles; in a statement issued by the school's trustees, they said that Bellesiles' ""book had not and does not meet the standards ... established for the Bancroft Prize.""An online search will quickly and easily verify that the above information is true - something that sadly cannot be said of many of the ""facts"" contained in Bellesiles' book.Whatever your views on gun control may be, avoid ""Arming America: The Origins of a National Gun Culture"" like the plague - it has clearly and widely been discredited as bad, bad, bad history. Important Background Info On This Book",in 2001 arming america the origins of a national gun culture received the prestigious bancroft prize for american history from columbia university in october 2002 the author michael bellesiles resigned as a professor at emory university after an independent panel of scholars strongly critized his research saying that he was guily of unprofessional and misleading work in december 2002 columbia rescinded their award to bellesiles in a statement issued by the school s trustees they said that bellesiles book had not and does not meet the standards established for the bancroft prize an online search will quickly and easily verify that the above information is true something that sadly cannot be said of many of the facts contained in bellesiles book whatever your views on gun control may be avoid arming america the origins of a national gun culture like the plague it has clearly and widely been discredited as bad bad bad history important background info on this book
2,other stuff to check out,I am a huge fan of catchy melodic girl rock/pop. If you enjoy this album then I strongly recommend that you check out the following:1) Jalopy Go Far by Zolof The Rock and Roll Destroyer2) Ready 2 Pop by Miss Mary3) An Illustrated History by Puffyamiyumi,I am a huge fan of catchy melodic girl rock/pop. If you enjoy this album then I strongly recommend that you check out the following:1) Jalopy Go Far by Zolof The Rock and Roll Destroyer2) Ready 2 Pop by Miss Mary3) An Illustrated History by Puffyamiyumi other stuff to check out,i am a huge fan of catchy melodic girl rock pop if you enjoy this album then i strongly recommend that you check out the following 1 jalopy go far by zolof the rock and roll destroyer2 ready 2 pop by miss mary3 an illustrated history by puffyamiyumi other stuff to check out
0,EVEN WORST THAN DEFAULT ANTENNA !!,"The signal goes down, I buy this to increase my reception, but even at outside, the signal is worst than with normal antenna. Don't buy !!La señal se cae, compre esto para incrementar mi recepcion, pero aun estando afuera, la señal es peor que con la antenna normal, no lo compres !!","The signal goes down, I buy this to increase my reception, but even at outside, the signal is worst than with normal antenna. Don't buy !!La señal se cae, compre esto para incrementar mi recepcion, pero aun estando afuera, la señal es peor que con la antenna normal, no lo compres !! EVEN WORST THAN DEFAULT ANTENNA !!",the signal goes down i buy this to increase my reception but even at outside the signal is worst than with normal antenna don t buy la señal se cae compre esto para incrementar mi recepcion pero aun estando afuera la señal es peor que con la antenna normal no lo compres even worst than default antenna
0,Book reads like written for grade schoolers,"I think that the whole aspect of hitting the road and going on tour with a band is just about the coolest thing that a person can do. Thus, this book seemed like the perfect read for someone like me. But when I got the book I was dissapointed in the fact that it seems like the author took five or six stories from the 'The Babysiters Club' or some other book for young kids, rewrote them to include drug and music references, and than sold it. The writing is just not very good and the stories are all lame. A girl's mother realizes her 16 year old daughter is right about being on tour, a girl runs from the cops and gets away, a ticket is fake, ect. Those in themselves aren't even that bad but the way he writes makes it a boring read.","I think that the whole aspect of hitting the road and going on tour with a band is just about the coolest thing that a person can do. Thus, this book seemed like the perfect read for someone like me. But when I got the book I was dissapointed in the fact that it seems like the author took five or six stories from the 'The Babysiters Club' or some other book for young kids, rewrote them to include drug and music references, and than sold it. The writing is just not very good and the stories are all lame. A girl's mother realizes her 16 year old daughter is right about being on tour, a girl runs from the cops and gets away, a ticket is fake, ect. Those in themselves aren't even that bad but the way he writes makes it a boring read. Book reads like written for grade schoolers",i think that the whole aspect of hitting the road and going on tour with a band is just about the coolest thing that a person can do thus this book seemed like the perfect read for someone like me but when i got the book i was dissapointed in the fact that it seems like the author took five or six stories from the the babysiters club or some other book for young kids rewrote them to include drug and music references and than sold it the writing is just not very good and the stories are all lame a girl s mother realizes her 16 year old daughter is right about being on tour a girl runs from the cops and gets away a ticket is fake ect those in themselves aren t even that bad but the way he writes makes it a boring read book reads like written for grade schoolers
0,Attention!!!!!,"I used these product for two years, and I bought them from other websites. It is the first time I bought this product on Amazon but it tuned out to be a fake.The product I had been used smelt nothing, but this one smells very differently and it smells like a molten metal. I am so angry and it's in my trash can now.I need an explanation !!!!!!!!!!!I seriously have been using this product for two years!!","I used these product for two years, and I bought them from other websites. It is the first time I bought this product on Amazon but it tuned out to be a fake.The product I had been used smelt nothing, but this one smells very differently and it smells like a molten metal. I am so angry and it's in my trash can now.I need an explanation !!!!!!!!!!!I seriously have been using this product for two years!! Attention!!!!!",i used these product for two years and i bought them from other websites it is the first time i bought this product on amazon but it tuned out to be a fake the product i had been used smelt nothing but this one smells very differently and it smells like a molten metal i am so angry and it s in my trash can now i need an explanation i seriously have been using this product for two years attention
2,Great Seat,"I searched forever for a good seat for our daughter. I came to this one through reveiews, and I am so glad I got it. It is so easy to put in and switch from our two cars and it fits in my husbands Civic, which I was very glad it did. It is so soft and our daughter loves it. She know can see out the window at what's going on around her. And unlike her baby car seat this one does not move when it is strapped in, which makes me feel SO safe. I don't know how I lived without it. And knowing how well it did with front and side impact ratings is a MAJOR plus. Very glad we have it.","I searched forever for a good seat for our daughter. I came to this one through reveiews, and I am so glad I got it. It is so easy to put in and switch from our two cars and it fits in my husbands Civic, which I was very glad it did. It is so soft and our daughter loves it. She know can see out the window at what's going on around her. And unlike her baby car seat this one does not move when it is strapped in, which makes me feel SO safe. I don't know how I lived without it. And knowing how well it did with front and side impact ratings is a MAJOR plus. Very glad we have it. Great Seat",i searched forever for a good seat for our daughter i came to this one through reveiews and i am so glad i got it it is so easy to put in and switch from our two cars and it fits in my husbands civic which i was very glad it did it is so soft and our daughter loves it she know can see out the window at what s going on around her and unlike her baby car seat this one does not move when it is strapped in which makes me feel so safe i don t know how i lived without it and knowing how well it did with front and side impact ratings is a major plus very glad we have it great seat
0,Could not get through it,"I'm sorry, I just couldn't stay awake reading this thing. It was confusing, boring, and annoying. I had high hopes when picking it up: I like historical fiction, I like reading about science and scientists, and I've generally found Irish writers (at least those available in the US) to be to my liking.Skip this one.","I'm sorry, I just couldn't stay awake reading this thing. It was confusing, boring, and annoying. I had high hopes when picking it up: I like historical fiction, I like reading about science and scientists, and I've generally found Irish writers (at least those available in the US) to be to my liking.Skip this one. Could not get through it",i m sorry i just couldn t stay awake reading this thing it was confusing boring and annoying i had high hopes when picking it up i like historical fiction i like reading about science and scientists and i ve generally found irish writers at least those available in the us to be to my liking skip this one could not get through it
